"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20","Sample_21","Sample_22","Sample_23","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28","Sample_29","Sample_30","Sample_31","Sample_32","Sample_33","Sample_34","Sample_35","Sample_36","Sample_37","Sample_38","Sample_39","Sample_40","Sample_41","Sample_42","Sample_43","Sample_44","Sample_45","Sample_46","Sample_47","Sample_48","Sample_49","Sample_50","Sample_51","Sample_52","Sample_53","Sample_54","Sample_55","Sample_56","Sample_57","Sample_58","Sample_59","Sample_60","Sample_61","Sample_62","Sample_63","Sample_64","Sample_65","Sample_66","Sample_67","Sample_68","Sample_69","Sample_70","Sample_71","Sample_72","Sample_73","Sample_74","Sample_75","Sample_76","Sample_77","Sample_78","Sample_79","Sample_80","Sample_81","Sample_82","Sample_83","Sample_84","Sample_85","Sample_86","Sample_87","Sample_88","Sample_89","Sample_90","Sample_91","Sample_92","Sample_93","Sample_94","Sample_95","Sample_96","Sample_97","Sample_98","Sample_99","Sample_100"
"Eggerthella",0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,3577,0,320,0,0,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10257,15313,327,0,0,0,0,0,0,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,9073,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0,0,0
"Enterorhabdus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonibacter",0,0,0,0,155,189,0,0,0,0,0,0,0,0,0,175,0,0,0,0,4303,0,0,0,0,0,273,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,297,2211,16672,0,0,0,0,0,0,592,0,0,666,0,0,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,0,0
"Slackia",0,0,0,2269,0,0,0,0,0,0,7357,0,0,0,0,0,0,0,0,0,0,1669,0,0,0,0,2051,0,2647,0,0,0,1169,0,2087,90,10297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0
"Bacteroides",1966873,1498129,1291827,760882,1529340,552120,2664000,1475881,1190078,598234,625091,928660,1587142,1169033,1800439,3064421,376501,2216496,86459,2398918,1114522,873803,990375,1508155,1040487,369145,1735199,12659,510970,1688146,1734408,1135414,1725669,1053146,752321,44208,706491,44169,926659,1050542,917200,20180,2783197,1739987,1741925,1186522,1864253,222452,1556721,1532198,283230,1374642,457770,1490602,1903069,2508384,593603,2194836,668935,410390,854975,768054,688045,1051288,638778,1070266,190125,2898309,875156,555975,2441901,843514,1257821,722363,2556725,888004,996320,0,1691389,1860548,54902,769978,995224,1397096,1649348,404373,434598,1249470,2550787,1208896,2356062,2027732,1134751,3574076,1151449,329360,1403329,621767,159462,3022008
"Barnesiella",0,87966,18493,29727,0,0,89069,37542,0,64502,37095,39814,80530,61666,0,0,17136,109171,2959,0,77814,108553,2715,29240,49359,14379,0,11067,74360,16270,46402,77576,0,19413,16407,0,80980,14166,0,14072,145700,0,0,0,87347,66711,3363,83290,66191,14838,22462,11458,4781,0,0,50698,0,86749,35312,11908,84701,37127,28365,55456,97380,74775,46546,100928,59876,0,0,30408,43991,15886,48484,0,18603,0,53066,0,4917,120796,0,26708,107545,2382,32670,0,0,0,0,154680,29812,0,0,10768,59163,8861,0,0
"Coprobacter",0,17792,3861,0,0,67347,14284,15664,0,3822,2381,657,0,613,32586,0,0,0,187,0,822,3568,492,0,0,0,15780,295,0,2497,0,0,0,0,0,0,370,0,15656,15733,2502,0,0,0,0,20548,0,0,0,16402,0,4245,0,0,0,11015,0,0,1464,388,0,1960,63,0,0,3032,0,0,1085,0,2104,813,0,0,0,8423,5482,0,3642,0,0,0,5156,0,0,0,947,0,0,3668,1222,0,0,0,0,0,0,1367,2551,0
"Muribaculaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Muribaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas",0,920,13987,8724,0,0,0,0,211,4173,5737,0,0,0,0,0,4642,3144,809,0,6348,13415,0,13220,0,0,0,0,6665,678,0,0,4989,0,7900,5653,2402,0,0,1896,124,0,0,2550,0,486,10886,5536,10493,205,525,0,45,0,0,0,9371,0,316,3962,1179,895,0,0,0,12162,0,0,2345,3596,0,7588,0,0,804,4081,1855,0,5878,0,0,0,0,253,3082,0,45,0,0,0,523,0,6913,0,0,1573,0,4447,0,0
"Odoribacter",22212,45135,22775,19333,6249,30635,56804,48971,5564,20240,29486,32108,22094,0,22152,0,12774,18646,10611,16778,9074,18942,19035,0,8493,12881,6724,4947,55585,7586,30983,49667,29363,32227,21842,5307,2594,15974,24441,24372,16417,46,0,0,0,30387,14675,8423,14246,23401,21747,27068,0,28064,19453,0,20072,28457,11708,10655,54351,15594,12908,18713,0,34622,24670,3590,26737,22171,16473,23701,19363,13598,16894,5469,14174,0,32944,12022,6913,21923,0,24582,30020,13680,50890,0,0,31581,482,18207,3311,0,22355,17437,30867,5376,4448,36957
"Porphyromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguibacteroides",0,0,0,0,0,0,0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella",0,0,0,29050,0,0,0,0,0,0,3863,0,0,0,0,0,0,0,5384,0,6800,0,20064,0,0,14643,0,0,0,0,9125,0,37696,8829,4383,0,39723,10267,0,0,0,1285,0,0,0,0,23332,0,0,0,4237,0,0,0,0,0,0,0,0,0,0,8244,0,0,0,0,0,0,0,0,0,5712,18081,0,0,18124,27975,0,21760,0,0,20467,0,0,0,0,256,0,0,12385,21609,0,0,0,0,0,0,492,0,0
"Prevotella",0,0,0,485732,0,0,0,0,0,0,30247,308539,0,0,0,0,2573710,0,1034309,0,0,0,497491,0,0,0,0,946382,0,0,15809,0,0,0,108105,1117086,0,192580,0,0,0,1473150,0,0,0,0,252279,2166,0,0,264358,0,172596,3128,0,0,0,0,1478508,1140312,0,0,0,422747,0,1360481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152316,73213,2791,0,0,1100297,0,5006,0,0,0,0,0,0,1115947,1103246,0,245126,510249,0
"Alistipes",203567,339109,190276,159047,2645,857862,341976,6559,69718,225799,69230,109984,69036,2145,234391,397984,66729,465083,4427,141041,625925,270579,22255,197300,88434,119747,214168,37453,325108,88422,9858,145894,197636,168248,95313,4417,234550,0,333009,160739,173026,1527,0,50,165887,360604,5750,101249,370736,186047,72792,141978,58241,169139,238999,73498,404852,109848,103647,28616,158749,241417,48464,254765,10604,147588,72961,132483,101921,205128,94805,282702,146422,72326,2839,109682,71336,0,6364,25815,17351,164837,136433,182477,226631,44013,189318,126647,1254,101111,10087,8619,50286,0,9810,24711,129780,21811,88485,111799
"Rikenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides",69815,71159,50874,66388,174799,430561,107719,104946,29282,313842,98525,63079,25175,92891,145687,257701,29491,141882,13155,206656,48252,34448,229697,64517,87892,40759,118198,6046,148356,76763,32355,0,175474,55715,133507,1325,42875,26755,85043,80547,54840,0,14727,78409,77690,152400,50575,26640,331192,44182,46135,107290,54812,71585,9921,134462,96873,153406,64738,21586,135497,33543,12377,122380,7062,62188,73994,96395,83515,119609,54420,93573,225620,27079,78761,40296,91051,2277461,566704,39582,14180,261106,90888,130680,54703,81804,32955,125267,0,62861,124808,96023,165283,194747,198009,26592,85039,27637,25488,105662
"Candidatus_Gastranaerophilales_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Listeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3626,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus",0,0,0,0,0,0,0,0,132,0,0,0,0,804,0,0,0,0,4034,107,0,0,0,0,0,2086,104,0,266,223,0,0,0,0,0,0,2464,0,5215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,707,0,0,337,0,342,0,0,99,0,0,0,0,0,0,0,0,2904,0,0,0,0,259,0,0,0,0,0,0,788,0,0,0,0,3214,0,0,234
"Pediococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,467,0,0,409,0,0,0,1076,0,0,0,0,774,0,293,0,0,3663,157,0,12000,1146,1351,0,0,0,2779,418,1050,0,0,0,0,237,3228,701,0,0,1425,382,6207,725,0,2442,0,0,401,0,830,228,0,880,0,12819,0,0,0,0,0,0,25710,3271,0,0,0,0,0,0,0,21087,3999,0,368,225,0,0,231,0,4091,0,0,140950,0,832,0,0,808,0,0,6469,0,0,0,0,0,0,0
"Christensenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium",30741,31792,2372,2568,28719,2443,6179,18495,4810,7869,92728,0,13963,6151,8819,0,1482,24358,810,19179,6232,4333,17790,13811,25619,55558,1192,1009,8105,39668,1601,1144,0,15638,3028,7475,2600,4319,25473,5522,4698,0,2684,499,46636,2591,3674,38575,2513,9463,27527,910,3629,14362,12964,3987,0,1989,2655,5802,0,2435,5394,3646,7942,6124,3668,8279,10267,5715,2555,779,3644,3244,0,0,1517,0,24988,34357,2792,1796,0,37416,70327,4579,4302,4180,7392,16677,1295,7608,10000,16403,870,0,10470,2789,2855,24210
"Hungatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,3893,324,0,0,0,0,0,0,0,0,0,0,2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,0,0,0,0,0,0
"Clostridiales_unclassified",0,0,0,0,0,0,0,0,0,0,24163,1637,0,0,0,0,0,0,0,0,20637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13708,0,635,0,0,0,0,0,0,0,4715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,635,0,0,22574,0,0,0,0,0,0,0,0,0,0
"Intestinimonas",0,0,134,846,0,1456,0,790,0,0,0,0,0,0,0,0,0,0,0,0,21995,0,0,0,0,0,0,0,5336,0,0,0,2214,0,327,0,0,0,0,8613,0,0,0,0,833,1909,0,0,0,1233,0,0,0,0,0,249,4555,2054,0,0,375,0,0,0,0,0,0,0,0,0,0,0,2348,0,0,0,0,41849,0,0,0,0,0,0,0,197,0,0,129,0,0,1913,0,133,0,0,0,0,0,0
"Lawsonibacter",0,4054,2446,0,5074,6134,1921,0,0,2830,445,0,4916,0,4988,6603,0,38749,0,6996,0,382,1391,7057,0,741,1553,0,0,3174,229,0,0,545,979,0,1254,525,4392,0,3855,0,0,2192,14223,6897,391,2763,1066,7071,0,155,0,917,47867,10741,2022,5399,0,0,0,0,609,613,2401,0,4629,7936,7930,1972,8039,6219,3570,0,2220,0,1519,0,151,0,2321,2922,812,384,0,0,0,2441,546,0,1362,2758,2988,552,0,0,0,0,1119,9341
"Monoglobus",0,0,0,0,0,11397,0,0,0,8490,0,0,8809,1054,0,0,0,4687,0,8775,0,0,0,0,18871,0,2838,0,0,0,0,5284,0,8999,0,0,3792,0,0,0,1411,0,0,0,13561,0,0,0,0,241,0,0,0,809,18077,1097,1653,0,0,0,0,0,0,0,0,0,0,0,1337,0,0,0,0,0,0,0,0,9336,0,0,0,0,0,3211,0,0,0,9562,1564,0,0,6651,1023,0,0,0,0,0,0,583
"Eubacterium",40968,18378,28940,38202,82261,144432,5523,40670,14008,297474,5210,32329,17172,13095,185909,46592,5987,40603,106645,6281,30027,10136,36302,33975,15534,71468,24124,9746,14834,33004,37687,238347,60479,19706,71238,37096,30997,23101,56176,6553,10107,56814,11151,61475,66761,9766,237745,8353,33184,24004,21337,55428,37040,153811,111093,30817,40379,11620,15554,8359,1323,12263,104490,41011,161948,4999,36201,16132,32553,841,29841,17425,16110,6295,15061,4844,19351,25596,15863,31822,18608,53374,84862,25713,30163,6394,5291,29588,17019,34990,8476,24216,3196,13239,9341,33590,161403,50061,182,40391
"Anaerostipes",8753,0,4691,3717,23705,15677,4631,5160,862,6115,1387,445,41192,8146,5635,27806,600,9747,475,2302,17696,4123,1270,1703,3006,12179,4455,8163,4842,14334,1199,2345,3149,2141,1199,141,6331,448,955,2548,5159,0,25066,117334,28175,0,496,6293,2118,8529,2269,9642,1664,4341,11645,11036,318,22003,532,542,0,308,6730,52513,906,1738,6763,14362,211,1837,15306,0,3275,5248,15890,1414,437,27656,6307,20187,2483,19589,1719,601,15615,8869,5863,6060,9385,4126,2881,4746,0,9472,15266,1171,5558,4970,0,18777
"Anaerotignum",0,0,0,0,4536,18710,0,0,0,0,0,0,161,0,0,4532,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77177,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,425,0,0,0,0,0,237,0,0,0,0,0,0,6063,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,2884,0,0,0,0,0
"Blautia",1642,11573,12003,271,15397,7272,23797,8666,1974,17119,11275,5348,12917,11074,6873,71617,3029,12467,4426,6311,8112,11187,26244,6900,16477,6239,29783,5413,25272,21902,5862,6615,12723,31986,5437,2123,4943,11019,4112,15569,13557,12401,31140,26189,93678,36147,12133,3316,10054,8276,2144,26250,9449,10431,5931,13371,2478,27637,4832,1686,0,0,29226,26750,7038,11741,8636,13733,2372,1891,30703,14279,3196,10272,39476,3288,16036,36671,11549,53466,34865,30105,19016,10344,22707,31221,10080,17143,14034,3980,14431,5910,9001,32872,8257,2876,8690,18038,5371,28484
"Butyrivibrio",0,0,0,0,0,0,0,0,0,0,227510,0,0,0,0,0,0,0,9926,0,0,0,0,0,0,0,0,0,0,0,43645,0,0,0,0,0,26858,54326,0,0,69192,0,0,0,0,0,0,0,0,0,34603,1107,0,828,0,0,3953,0,0,130648,0,6049,0,0,0,0,179663,0,162601,0,0,0,0,0,0,13691,0,0,0,0,157024,0,0,0,0,0,51523,0,0,0,0,0,0,0,0,72571,3289,0,0,0
"Coprococcus",1277,2516,53267,2725,1470,719,11867,8993,1120,48220,12787,314,74,23928,3696,0,61243,0,15294,9230,8984,3156,3622,40791,69732,12859,25944,4216,2002,4337,2102,8241,1298,5079,1511,57750,7448,1824,39238,3092,4047,287,1230,17672,11176,1105,9630,4910,2162,5423,2779,8737,2392,28896,2694,1558,0,7937,35920,1718,615,3750,81397,4875,45188,683,12451,3517,48341,537,2163,6137,4683,173,0,29154,100892,0,3417,6882,9772,4567,10625,7439,79787,25108,7448,17224,1800,8455,1356,3818,210,2688,225,18234,25293,369,2134,3642
"Dorea",8631,987,12163,2257,5955,783,7798,9153,2658,19116,4852,3000,2056,2372,4282,0,3268,8826,3141,13927,4458,5953,12164,9245,2479,8463,12291,1537,8157,9381,1275,5063,10508,7198,5936,841,15421,8387,4558,1129,4500,1693,20057,1407,57434,1647,7223,33492,1953,2154,2663,11813,2383,8102,8984,1868,8143,16185,3431,801,0,0,5219,4391,11896,1601,4932,4976,774,1053,1981,7514,2807,1742,0,990,11640,12788,7170,20527,18411,22516,16763,14788,11688,5706,2455,1575,4182,300,3806,2690,3226,0,528,3982,8461,19947,5949,863
"Eisenbergiella",0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,2046,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26296,1937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8072,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,0,4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
